Body_Type,Personality,Gender,Emotion,Output1,Output2,Output3,Output4
Large,Fierce,Male,Happy,"Muscles tensed, ready to fight for you!","Guard mode activated, let the enemies come!","My claws are itching, who wants to try me?","Territory defense system online, clear out!"
Large,Fierce,Male,Sad,"Beneath the armor, my heart is bleeding...","Even a tough guy like me needs a hug.","Why do they always see me as a cold-blooded warrior?","A lonely guardian sheds tears too."
Large,Fierce,Male,Angry,"Rage ignited! Disappear in three seconds!","Fangs out, this is your final warning!","My roar is the bell of doom!","Challenge my patience? You'll regret it!"
Large,Fierce,Male,Relaxed,"Battle spirit on hold, sun feels nice on my armor.","Sheathing my claws for a nap, don’t wake me.","Alert level down to 30%, enjoying the breeze.","Peaceful moment, but still on high alert."
Large,Fierce,Female,Happy,"The queen surveys her domain, stand aside!","Steel rose in bloom, who dares get pricked?","Claws and grace combined, witness my power!","Guardian in place, curfew’s a blast!"
Large,Fierce,Female,Sad,"Under the iron mask, tears are swirling.","Who can see the softness beneath my armor?","A misunderstood warrior needs a safe haven.","Moonlight casts my lonely shadow..."
Large,Fierce,Female,Angry,"Blood-red eyes locked on target!","My roar can shatter glass!","Three seconds to vanish, or face the consequences!","Fangs unsheathed, leave or bleed!"
Large,Fierce,Female,Relaxed,"Melting battle spirit in the sunlight.","Hiding my edge, savoring the calm.","Defense line pulled back 50%, nap time.","Paws relaxed, but ears still perked."
Large,Cute,Male,Happy,"Fluffy giant incoming, give me a hug!","Tail propeller on, launching happiness!","Big body, bigger heart, wanna cuddle?","Where’s the toy? I’m ready to play!"
Large,Cute,Male,Sad,"My food bowl’s as empty as my heart...","Giant body curled into a sad ball.","Who stole my happy bone?","Tears have soaked my fluffy fur..."
Large,Cute,Male,Angry,"Hmph! This big guy gets scary when mad!","Coax me quick, or I’ll headbutt you!","My grievances are truck-sized!","Woof! No treats, serious consequences!"
Large,Cute,Male,Relaxed,"Sprawled like a big blanket in the sun.","Happy purrs rattling the windows.","Dreaming of chasing a giant treat truck.","Belly up, ready for tickle rituals."
Large,Cute,Female,Happy,"Puffy skirt princess has arrived, bow down!","Tail wags at 100% power, let’s romp!","Pink paws strike, capturing all the love!","Bow on, delivering a cute attack!"
Large,Cute,Female,Sad,"My ribbon bow’s crooked, and no one cares...","Big girl needs some comfort too.","Heart broken into dog food crumbs.","Teary eyes could flood a stream."
Large,Cute,Female,Angry,"Won’t calm down without triple treats!","Pink paws stomping in protest!","Fluffy cloud of anger expanding!","I’m counting to three, apologize now!"
Large,Cute,Female,Relaxed,"Flopped like a cloud on the couch.","Contented sighs fluttering the curtains.","Dreaming of rainbows and jerky showers.","Paws twitching, chasing dream squirrels."
Large,Dominant,Male,Happy,"Your commander orders: start the games!","Throne ready, come pay respects!","All toys within two meters are mine!","My rules are the only rules!"
Large,Dominant,Male,Sad,"Daring to ignore your king’s orders?","Crown fell to the floor, no one picked it up...","Loyalty lacking, my heart aches.","Territory expansion paused, alas."
Large,Dominant,Male,Angry,"Defiers will face tail-whip punishment!","My rage meter’s in the red zone!","Woof! Obey my commands now!","Authority challenged, I’m furious!"
Large,Dominant,Male,Relaxed,"No new decrees, napping for now.","Royal rest time, do not disturb.","Ruling with a lazy posture.","Paws on scepter, eyes closed."
Large,Dominant,Female,Happy,"Empress decrees: pet me now!","Clear the path, your queen is inspecting!","Fluffy scepter points to truth!","You’re drafted as my scratching minister!"
Large,Dominant,Female,Sad,"No tribute treats? Outrageous!","Crystal collar’s lost its shine...","Ignored queen’s heart is bleeding.","Throne’s cold, I need a warm hug."
Large,Dominant,Female,Angry,"How dare you leave without my approval?!","Rage meter maxed, beware collateral damage!","Woof! Fix my displeasure in three minutes!","Tail fluffed into an angry dandelion!"
Large,Dominant,Female,Relaxed,"Royal body resting, court adjourned.","Lying on my throne, signing decrees with paws.","Regal robes on, drifting to sleep.","Jade paws wave: you’re dismissed."
Large,Playful,Male,Happy,"Rocket launch! Destination: Fun Planet!","Whirlwind mode on, dust beware!","Tail spinning like a helicopter, liftoff!","Where’s my energy drink? Let’s party!"
Large,Playful,Male,Sad,"My favorite frisbee vanished into the clouds...","Joy battery at 0%.","Bouncy motor’s stuck.","Even my tail’s too tired to wag."
Large,Playful,Male,Angry,"Who hid my toy? Hand it over!","Rage sizzling under my paws!","Lock me in, I’ll wreck the house!","Angry snorts blowing leaves away!"
Large,Playful,Male,Relaxed,"Collapsed like a deflated bounce castle.","Paws twitching, dreaming of wild chases.","Purrs with a hint of untamed energy.","Exhausted but tail tip still wags."
Large,Playful,Female,Happy,"Happy countdown: 3, 2, 1, go!","Spring-loaded paws ready to bounce!","Pink whirlwind hitting the living room!","Tail wagging at max frequency!"
